Date,USD (AM),USD (PM),GBP (AM),GBP (PM),EURO (AM),EURO (PM),Return,Lagged_Return
2001-02-13,261.5,260.75,179.849,179.456,281.485,282.197,-0.13404825737266535,0.4617160446325652
2001-02-14,260.9,260.25,179.103,178.559,283.495,283.404,-0.19175455417066445,-0.13404825737266535
2001-02-15,259.5,258.55,178.412,178.52,284.228,284.904,-0.6532180595581139,-0.19175455417066445
2001-02-16,256.7,257.45,176.572,177.063,281.531,280.967,-0.425449622896934,-0.6532180595581139
2001-02-19,258.95,259.45,178.279,179.055,281.131,281.613,0.7768498737618978,-0.425449622896934
2001-02-20,258.3,256.25,179.412,177.705,283.846,282.587,-1.2333783002505205,0.7768498737618978
2001-02-21,257.3,257.5,178.124,178.225,280.895,281.729,0.4878048780487809,-1.2333783002505205
2001-02-22,258.0,258.85,178.918,179.048,284.831,286.149,0.5242718446601957,0.4878048780487809
2001-02-23,259.95,260.45,179.934,179.869,287.174,286.681,0.6181186015066453,0.5242718446601957
2001-02-26,262.8,263.2,181.24,182.019,288.474,288.85,1.0558648492992928,0.6181186015066453
2001-02-27,268.1,268.3,185.601,185.971,292.845,292.043,1.937689969604861,1.0558648492992928
2001-02-28,265.0,266.7,183.366,185.144,287.512,289.828,-0.5963473723443968,1.937689969604861
2001-03-01,266.7,266.35,184.122,183.247,287.858,286.398,-0.1312335958005173,-0.5963473723443968
2001-03-02,263.35,263.1,179.638,178.433,281.207,280.73,-1.2201989862962281,-0.1312335958005173
2001-03-05,261.85,262.5,178.275,178.754,281.076,282.197,-0.22805017103764147,-1.2201989862962281
2001-03-06,262.6,261.85,179.066,178.652,283.279,282.014,-0.24761904761904097,-0.22805017103764147
2001-03-07,261.55,260.65,178.618,178.625,279.942,281.085,-0.4582776398701749,-0.24761904761904097
2001-03-08,263.6,263.65,179.405,179.623,282.62,282.947,1.1509687320161222,-0.4582776398701749
2001-03-09,268.75,269.8,182.823,183.775,287.587,289.175,2.332637967001716,1.1509687320161222
2001-03-12,270.5,272.5,184.516,185.981,290.548,293.326,1.0007412898443313,2.332637967001716
2001-03-13,269.4,269.3,184.926,185.29,291.716,292.495,-1.174311926605498,1.0007412898443313
2001-03-14,267.45,263.85,184.131,182.28,292.327,289.627,-2.0237653174897785,-1.174311926605498
2001-03-15,262.7,262.05,181.611,181.639,288.681,289.079,-0.6822057987492913,-2.0237653174897785
2001-03-16,260.2,260.7,181.324,182.028,290.889,290.862,-0.5151688609044136,-0.6822057987492913
2001-03-19,260.5,260.55,181.939,182.381,289.605,290.08,-0.057537399309537385,-0.5151688609044136
2001-03-20,262.6,261.55,183.636,183.03,290.487,289.806,0.3838034926117784,-0.057537399309537385
2001-03-21,261.2,262.0,182.913,183.409,290.933,291.597,0.17205123303383196,0.3838034926117784
2001-03-22,262.25,261.15,184.346,184.103,294.497,294.918,-0.3244274809160341,0.17205123303383196
2001-03-23,262.3,262.85,183.748,184.069,293.63,294.411,0.6509668772736177,-0.3244274809160341
2001-03-26,261.3,262.2,182.23,182.909,292.839,293.125,-0.24728932851437735,0.6509668772736177
2001-03-27,262.75,262.0,183.293,182.324,293.215,292.085,-0.07627765064835978,-0.24728932851437735
2001-03-28,261.2,260.15,182.785,181.669,294.244,292.962,-0.7061068702290174,-0.07627765064835978
2001-03-29,260.2,260.15,180.694,180.949,293.183,294.121,0.0,-0.7061068702290174
2001-03-30,259.05,257.7,181.789,180.627,294.041,291.252,-0.9417643667115061,0.0
2001-04-02,257.55,255.95,181.603,180.208,293.571,291.415,-0.6790842064415936,-0.9417643667115061
2001-04-03,257.0,257.1,180.414,180.295,290.461,290.246,0.44930650517680526,-0.6790842064415936
2001-04-04,259.2,259.45,180.753,180.953,289.383,287.002,0.9140412290937316,0.44930650517680526
2001-04-05,258.2,258.1,180.219,180.616,287.016,287.416,-0.5203314704181783,0.9140412290937316
2001-04-06,258.1,258.8,180.414,180.474,286.587,287.715,0.27121270825261057,-0.5203314704181783
2001-04-09,260.9,259.0,180.491,178.806,288.926,286.981,0.07727975270479526,0.27121270825261057
2001-04-10,257.05,256.65,178.05,177.674,286.982,286.92,-0.9073359073359155,0.07727975270479526
2001-04-11,258.45,257.7,179.854,179.845,290.393,292.078,0.40911747516072516,-0.9073359073359155
2001-04-12,259.4,259.25,180.792,180.411,292.117,291.063,0.6014745828482715,0.40911747516072516
2001-04-17,262.15,260.55,182.327,181.733,297.222,295.844,0.5014464802314489,0.6014745828482715
2001-04-18,260.1,258.85,182.143,181.968,295.233,295.491,-0.6524659374400277,0.5014464802314489
2001-04-19,261.35,263.1,182.762,183.153,295.745,295.951,1.6418775352520676,-0.6524659374400277
2001-04-20,264.2,263.85,182.774,183.102,293.327,293.167,0.2850627137970463,1.6418775352520676
2001-04-23,262.9,262.6,182.316,182.121,291.367,291.681,-0.4737540269092233,0.2850627137970463
2001-04-24,263.65,263.4,183.218,182.587,293.924,292.245,0.30464584920029125,-0.4737540269092233
2001-04-25,263.95,263.5,183.95,183.012,295.511,293.169,0.03796507213364997,0.30464584920029125
2001-04-26,262.2,263.5,182.147,182.669,292.373,292.291,0.0,0.03796507213364997
2001-04-27,264.45,264.6,183.391,184.519,293.247,296.437,0.4174573055028441,0.0
2001-04-30,263.45,263.15,183.461,183.97,296.011,296.607,-0.5479969765684212,0.4174573055028441
2001-05-01,263.8,264.0,184.799,184.449,297.407,296.296,0.3230096902907098,-0.5479969765684212
2001-05-02,265.0,263.95,185.315,184.451,297.485,296.307,-0.01893939393939892,0.3230096902907098
2001-05-03,265.3,266.4,185.007,185.257,296.922,297.321,0.9282060996400832,-0.01893939393939892
2001-05-04,265.8,266.6,185.356,185.165,297.748,297.279,0.07507507507509281,0.9282060996400832
2001-05-08,265.6,265.2,185.307,185.325,299.234,299.83,-0.5251312828207233,0.07507507507509281
2001-05-09,265.2,267.85,186.027,188.467,300.136,302.758,0.9992458521870473,-0.5251312828207233
2001-05-10,269.4,268.45,189.451,188.969,303.618,304.158,0.22400597349261364,0.9992458521870473
2001-05-11,268.95,269.05,189.869,189.739,306.566,307.135,0.22350530825108184,0.22400597349261364
2001-05-14,267.7,268.35,188.987,189.312,306.048,306.861,-0.26017468871956106,0.22350530825108184
2001-05-15,268.05,266.6,188.901,187.68,306.098,303.748,-0.6521334078628649,-0.26017468871956106
2001-05-16,269.1,270.9,188.67,189.48,304.826,306.205,1.612903225806428,-0.6521334078628649
2001-05-17,271.75,274.0,189.942,191.877,307.688,311.222,1.1443337024732436,1.612903225806428
2001-05-18,272.1,273.0,190.373,190.976,309.486,311.288,-0.36496350364964014,1.1443337024732436
2001-05-21,288.35,291.25,200.717,202.173,328.904,332.25,6.684981684981683,-0.36496350364964014
2001-05-22,282.75,284.15,196.956,198.845,324.329,327.362,-2.437768240343352,6.684981684981683
2001-05-23,283.85,283.15,199.683,198.897,330.712,329.627,-0.35192679922576575,-2.437768240343352
2001-05-24,283.45,286.05,200.177,202.442,329.977,332.616,1.0241921243157481,-0.35192679922576575
2001-05-25,280.65,276.25,198.059,194.474,328.246,321.82,-3.425974479986016,1.0241921243157481
2001-05-29,276.65,275.75,195.126,194.519,323.189,323.044,-0.18099547511312153,-3.425974479986016
2001-05-30,273.65,271.0,192.603,190.149,320.133,316.035,-1.7225747960108784,-0.18099547511312153
2001-05-31,266.1,267.5,187.619,188.752,313.428,315.821,-1.291512915129156,-1.7225747960108784
2001-06-01,265.65,265.4,187.143,187.694,313.822,313.712,-0.785046728971972,-1.291512915129156
2001-06-04,266.25,266.5,187.685,187.808,312.573,312.647,0.41446872645065636,-0.785046728971972
2001-06-05,266.15,265.7,188.96,188.199,315.12,313.067,-0.30018761726079424,0.41446872645065636
2001-06-06,266.95,265.5,190.679,189.778,312.624,312.353,-0.07527286413248069,-0.30018761726079424
2001-06-07,266.25,266.1,191.657,192.408,313.9,313.945,0.225988700564983,-0.07527286413248069
2001-06-08,267.25,267.0,193.659,193.534,314.042,314.858,0.33821871476886756,0.225988700564983
2001-06-11,272.75,268.5,196.775,195.344,321.071,317.864,0.561797752808979,0.33821871476886756
2001-06-12,267.9,269.9,194.553,195.992,316.48,317.866,0.5214152700186103,0.561797752808979
2001-06-13,271.8,271.95,197.529,195.859,317.895,318.07,0.759540570581696,0.5214152700186103
2001-06-14,272.2,272.4,195.546,195.045,319.109,319.156,0.1654715940430096,0.759540570581696
2001-06-15,274.35,272.2,195.615,193.42,318.087,315.411,-0.07342143906020615,0.1654715940430096
2001-06-18,271.5,272.0,192.964,193.939,315.331,316.463,-0.07347538574576928,-0.07342143906020615
2001-06-19,273.95,273.4,195.818,195.495,319.289,318.834,0.5147058823529393,-0.07347538574576928
2001-06-20,272.4,271.5,194.989,194.693,318.97,318.662,-0.6949524506217886,0.5147058823529393
2001-06-21,272.65,271.7,194.195,192.63,317.59,318.523,0.073664825046027,-0.6949524506217886
2001-06-22,273.2,273.3,193.061,193.665,320.281,319.839,0.5888847994111268,0.073664825046027
2001-06-25,273.1,272.9,192.663,192.93,316.895,317.141,-0.14635931211124387,0.5888847994111268
2001-06-26,273.85,274.0,193.766,193.667,317.397,318.235,0.4030780505679843,-0.14635931211124387
2001-06-27,276.0,274.8,194.421,194.411,319.444,319.721,0.29197080291971655,0.4030780505679843
2001-06-28,271.45,269.5,192.136,191.026,316.855,319.798,-1.9286754002911244,0.29197080291971655
2001-06-29,269.9,270.6,192.031,192.529,318.466,319.367,0.40816326530612734,-1.9286754002911244
2001-07-02,269.1,268.35,190.581,189.339,318.085,317.649,-0.8314855875831473,0.40816326530612734
2001-07-03,268.6,268.5,190.146,190.832,317.119,317.001,0.05589714924538747,-0.8314855875831473
2001-07-04,267.6,267.6,190.463,190.53,316.499,316.2,-0.3351955307262511,0.05589714924538747
2001-07-05,267.55,266.3,190.4,189.672,318.133,316.835,-0.48579970104634107,-0.3351955307262511
2001-07-06,265.2,265.1,189.416,189.02,315.714,315.595,-0.45061960195268425,-0.48579970104634107
2001-07-09,266.85,266.1,185.591,188.991,315.426,313.797,0.3772161448510003,-0.45061960195268425
2001-07-10,267.2,267.45,189.034,189.493,312.259,312.442,0.5073280721533235,0.3772161448510003
2001-07-11,266.55,267.55,188.175,188.988,309.69,310.023,0.03739016638624193,0.5073280721533235
2001-07-12,267.55,266.3,190.363,189.537,313.407,312.375,-0.46720239207624914,0.03739016638624193
2001-07-13,266.4,266.35,189.947,190.318,311.761,312.801,0.018775816748028973,-0.46720239207624914
2001-07-16,268.0,268.25,191.333,191.47,312.901,313.376,0.7133470996808722,0.018775816748028973
2001-07-17,266.85,267.6,191.359,190.938,313.388,314.085,-0.2423112767940272,0.7133470996808722
2001-07-18,268.1,268.55,191.091,190.393,312.471,310.822,0.35500747384153986,-0.2423112767940272
2001-07-19,271.55,270.3,191.098,190.984,309.529,310.404,0.651647737851424,0.35500747384153986
2001-07-20,270.1,269.7,188.947,188.338,308.509,307.877,-0.22197558268591822,0.651647737851424
2001-07-23,269.25,268.7,189.213,189.159,309.839,309.562,-0.3707823507601016,-0.22197558268591822
2001-07-24,268.9,268.75,189.5,189.394,308.726,307.494,0.018608113137341675,-0.3707823507601016
2001-07-25,269.25,268.4,189.213,187.889,307.363,304.896,-0.1302325581395425,0.018608113137341675
2001-07-26,267.15,267.5,186.818,187.194,303.752,304.427,-0.3353204172876212,-0.1302325581395425
2001-07-27,265.85,266.15,186.627,186.497,303.239,303.305,-0.5046728971962677,-0.3353204172876212
2001-07-30,266.4,266.3,187.315,186.641,304.388,304.1,0.056359195942157214,-0.5046728971962677
2001-07-31,265.55,265.9,186.168,186.4,303.139,303.366,-0.15020653398424288,0.056359195942157214
2001-08-01,267.7,267.35,186.967,186.697,303.963,303.634,0.5453177886423743,-0.15020653398424288
2001-08-02,268.3,267.0,187.164,186.844,304.023,303.582,-0.13091453151300447,0.5453177886423743
2001-08-03,267.5,267.85,186.932,187.504,303.46,302.484,0.31835205992509774,-0.13091453151300447
2001-08-06,267.9,267.2,187.802,188.275,304.086,303.567,-0.2426731379503555,0.31835205992509774
2001-08-07,266.7,266.45,188.507,188.012,304.278,303.647,-0.280688622754488,-0.2426731379503555
2001-08-08,266.5,266.4,188.273,188.202,304.571,303.832,-0.01876524676299729,-0.280688622754488
2001-08-09,269.0,270.0,189.29,190.235,303.955,304.912,1.3513513513513598,-0.01876524676299729
2001-08-10,273.35,275.8,191.583,193.435,305.761,308.329,2.1481481481481435,1.3513513513513598
2001-08-13,275.1,275.6,193.487,193.594,306.484,306.324,-0.07251631617113397,2.1481481481481435
2001-08-14,274.1,274.5,193.083,193.337,306.257,306.191,-0.39912917271408554,-0.07251631617113397
2001-08-15,276.35,275.35,192.914,191.548,304.183,302.416,0.30965391621129434,-0.39912917271408554
2001-08-16,275.1,275.9,189.633,191.199,299.673,302.688,0.19974577810057959,0.30965391621129434
2001-08-17,276.25,277.45,191.335,192.58,302.309,303.722,0.5617977528090012,0.19974577810057959
2001-08-20,277.75,276.65,192.148,191.652,303.221,303.344,-0.2883402414849523,0.5617977528090012
2001-08-21,276.95,276.3,191.383,190.749,303.075,302.132,-0.12651364540031684,-0.2883402414849523
2001-08-22,277.25,275.85,190.158,189.509,300.054,299.284,-0.16286644951140072,-0.12651364540031684
2001-08-23,274.3,274.85,189.893,189.945,301.098,301.041,-0.36251586006887937,-0.16286644951140072
2001-08-24,275.15,272.8,190.442,188.724,301.105,298.534,-0.7458613789339652,-0.36251586006887937
2001-08-28,271.6,271.05,188.808,187.708,300.11,299.172,-0.6414956011730255,-0.7458613789339652
2001-08-29,272.85,272.85,187.719,187.913,299.014,299.671,0.6640841173215284,-0.6414956011730255
2001-08-30,273.4,272.3,188.357,187.715,300.77,299.659,-0.20157595748580004,0.6640841173215284
2001-08-31,275.35,273.0,188.57,187.835,300.044,299.276,0.25706940874035134,-0.20157595748580004
2001-09-03,273.55,273.35,188.136,187.999,300.935,301.212,0.12820512820512775,0.25706940874035134
2001-09-04,272.25,272.3,188.408,188.247,303.275,304.11,-0.3841229193341955,0.12820512820512775
2001-09-05,271.7,271.3,188.406,186.82,306.141,305.69,-0.3672420124862241,-0.3841229193341955
2001-09-06,272.0,272.05,187.418,187.478,306.306,305.331,0.27644673792848184,-0.3672420124862241
2001-09-07,273.15,273.6,187.926,187.372,305.366,303.73,0.5697482080500027,0.27644673792848184
2001-09-10,273.2,271.5,186.167,185.73,302.38,301.466,-0.7675438596491335,0.5697482080500027
2001-09-11,271.4,287.0,186.427,196.172,302.733,317.654,5.7090239410681365,-0.7675438596491335
2001-09-12,279.5,279.0,190.915,190.6,308.669,307.913,-2.7874564459930307,5.7090239410681365
2001-09-13,278.5,280.25,189.895,190.971,306.955,308.952,0.44802867383513245,-2.7874564459930307
2001-09-14,284.5,285.75,192.816,193.926,310.929,310.801,1.9625334522747506,0.44802867383513245
2001-09-17,291.0,293.25,197.221,199.354,312.399,316.343,2.6246719160105014,1.9625334522747506
2001-09-18,288.65,289.4,196.829,198.016,313.069,313.951,-1.3128729752770796,2.6246719160105014
2001-09-19,289.35,288.1,197.549,196.655,312.473,311.628,-0.44920525224600993,-1.3128729752770796
2001-09-20,288.2,288.5,196.322,196.928,310.962,311.454,0.13884068031932983,-0.44920525224600993
2001-09-21,291.3,292.5,199.794,200.48,316.803,319.045,1.3864818024263537,0.13884068031932983
2001-09-24,289.65,288.2,198.663,196.616,317.008,314.526,-1.4700854700854693,1.3864818024263537
2001-09-25,287.95,288.0,196.983,196.118,313.5,312.195,-0.0693962526023606,-1.4700854700854693
2001-09-26,291.6,291.45,197.628,197.929,316.509,316.45,1.1979166666666652,-0.0693962526023606
2001-09-27,291.25,289.8,197.525,196.675,315.889,316.031,-0.5661348430262447,1.1979166666666652
2001-09-28,290.85,293.1,197.776,199.932,317.349,321.205,1.1387163561076719,-0.5661348430262447
2001-10-01,291.65,290.6,197.93,196.391,320.178,317.492,-0.8529512111907223,1.1387163561076719
2001-10-02,291.1,291.65,196.915,198.132,318.246,317.598,0.3613214039917212,-0.8529512111907223
2001-10-03,289.95,290.1,197.312,196.545,314.65,315.669,-0.531458940510876,0.3613214039917212
2001-10-04,289.15,290.35,196.367,196.647,315.666,317.218,0.08617718028265386,-0.531458940510876
2001-10-05,291.6,291.2,197.561,197.023,317.889,317.384,0.2927501291544621,0.08617718028265386
2001-10-08,292.85,291.85,198.475,198.039,317.453,317.228,0.22321428571430157,0.2927501291544621
2001-10-09,291.1,290.0,198.095,197.575,315.795,315.355,-0.6338872708583243,0.22321428571430157
2001-10-10,286.5,287.15,196.975,197.408,314.145,313.997,-0.982758620689661,-0.6338872708583243
2001-10-11,282.35,281.85,194.59,195.282,310.172,312.958,-1.8457252307156335,-0.982758620689661
2001-10-12,282.85,281.8,195.473,194.385,312.887,311.898,-0.01773993258825657,-1.8457252307156335
2001-10-15,283.75,281.85,195.595,194.446,311.745,310.237,0.017743080198728833,-0.01773993258825657
2001-10-16,281.25,281.1,194.569,194.398,310.533,310.196,-0.2660989888238374,0.017743080198728833
2001-10-17,281.65,281.6,194.806,194.395,311.663,310.782,0.1778726431874711,-0.2660989888238374
2001-10-18,282.2,281.0,195.254,194.531,312.445,311.013,-0.21306818181818787,0.1778726431874711
2001-10-19,278.7,279.15,193.354,194.029,309.563,310.512,-0.6583629893238463,-0.21306818181818787
2001-10-22,277.55,275.9,193.752,193.207,309.076,308.647,-1.1642486118574213,-0.6583629893238463
2001-10-23,274.9,276.05,193.387,194.155,309.398,309.82,0.05436752446539295,-1.1642486118574213
2001-10-24,276.15,275.5,193.206,193.266,309.689,308.995,-0.1992392682485078,0.05436752446539295
2001-10-25,275.35,276.7,193.16,193.483,309.174,308.645,0.4355716878402971,-0.1992392682485078
2001-10-26,276.95,277.25,193.333,193.543,309.961,310.958,0.19877123238165595,0.4355716878402971
2001-10-29,277.7,278.6,191.848,191.939,309.071,308.459,0.4869251577998224,0.19877123238165595
2001-10-30,280.2,280.4,192.577,192.318,309.442,308.471,0.6460875807609234,0.4869251577998224
2001-10-31,280.95,278.75,193.093,191.91,310.682,309.516,-0.588445078459332,0.6460875807609234
2001-11-01,279.45,280.6,191.47,191.379,308.104,311.086,0.6636771300448485,-0.588445078459332
2001-11-02,280.2,279.9,191.132,191.189,309.613,309.795,-0.24946543121883158,0.6636771300448485
2001-11-05,278.95,278.25,191.916,191.066,311.016,310.443,-0.5894962486602262,-0.24946543121883158
2001-11-06,278.9,278.95,191.329,191.022,310.579,310.462,0.2515723270440251,-0.5894962486602262
2001-11-07,280.5,280.3,191.272,191.54,310.562,311.306,0.4839576985122829,0.2515723270440251
2001-11-08,280.2,279.95,191.328,191.747,312.584,312.096,-0.12486621476989201,0.4839576985122829
2001-11-09,277.3,277.15,191.334,190.089,311.223,310.185,-1.0001786033220217,-0.12486621476989201
2001-11-12,277.7,280.0,190.728,192.228,311.218,311.943,1.028324012267734,-1.0001786033220217
2001-11-13,277.65,276.5,191.549,191.708,313.163,313.777,-1.2499999999999956,1.028324012267734
2001-11-14,277.55,278.25,193.011,193.296,315.757,315.655,0.6329113924050667,-1.2499999999999956
2001-11-15,276.05,275.45,192.035,192.152,312.734,312.372,-1.0062893081761004,0.6329113924050667
2001-11-16,275.5,274.5,192.361,192.052,311.616,310.24,-0.3448901797059367,-1.0062893081761004
2001-11-19,274.2,273.6,192.489,192.961,311.414,311.192,-0.3278688524590123,-0.3448901797059367
2001-11-20,273.75,272.95,193.19,192.584,310.093,309.292,-0.23757309941522253,-0.3278688524590123
2001-11-21,273.15,272.8,192.563,192.587,310.892,311.238,-0.054955119985333756,-0.23757309941522253
2001-11-22,273.2,272.75,193.279,193.234,311.055,310.472,-0.01832844574780612,-0.054955119985333756
2001-11-23,272.55,273.1,193.435,193.277,310.068,310.765,0.1283226397800208,-0.01832844574780612
2001-11-26,273.05,272.6,192.587,192.718,309.686,309.597,-0.18308311973636027,0.1283226397800208
2001-11-27,273.65,273.3,193.803,193.309,310.789,310.568,0.2567865003668235,-0.18308311973636027
2001-11-28,274.6,274.4,193.858,192.927,310.282,310.127,0.4024881083058762,0.2567865003668235
2001-11-29,274.65,274.8,192.399,192.91,308.769,309.111,0.1457725947521915,0.4024881083058762
2001-11-30,274.7,275.5,192.934,193.198,309.87,307.649,0.2547307132459986,0.1457725947521915
2001-12-03,275.25,276.35,193.429,194.681,307.886,310.053,0.3085299455535484,0.2547307132459986
2001-12-04,276.55,276.6,194.439,194.269,310.173,310.333,0.09046499004885522,0.3085299455535484
2001-12-05,275.75,275.0,193.876,193.867,309.137,309.51,-0.5784526391901745,0.09046499004885522
2001-12-06,274.1,274.55,193.505,192.802,308.845,307.964,-0.1636363636363547,-0.5784526391901745
2001-12-07,274.75,274.1,192.604,191.344,308.016,307.459,-0.1639045711163689,-0.1636363636363547
2001-12-10,273.35,272.65,190.887,190.292,307.48,307.038,-0.5290040131339047,-0.1639045711163689
2001-12-11,272.6,272.2,189.965,189.291,305.64,305.705,-0.16504676324958778,-0.5290040131339047
2001-12-12,273.25,273.5,189.559,189.536,305.478,306.031,0.4775900073475503,-0.16504676324958778
2001-12-13,273.95,274.35,189.585,189.73,305.237,305.682,0.3107861060329231,0.4775900073475503
2001-12-14,274.85,277.05,189.33,190.832,304.712,306.811,0.9841443411700235,0.3107861060329231
2001-12-17,277.8,277.75,190.339,190.422,306.589,306.906,0.25266197437285864,0.9841443411700235
2001-12-18,278.85,278.85,191.255,191.36,308.941,309.146,0.3960396039603964,0.25266197437285864
2001-12-19,278.9,278.65,192.358,192.106,310.579,309.956,-0.07172314864624107,0.3960396039603964
2001-12-20,276.25,276.1,191.243,190.743,307.902,307.632,-0.9151265027812494,-0.07172314864624107
2001-12-21,277.8,277.5,191.613,192.374,309.699,311.728,0.5070626584570803,-0.9151265027812494
2001-12-27,278.05,277.7,191.785,191.148,314.821,313.75,0.07207207207207134,0.0
2001-12-28,277.6,276.5,191.713,191.23,314.49,314.24,-0.4321209938782822,0.07207207207207134
2002-01-02,278.1,278.35,191.397,192.87,308.726,308.182,0.6690777576853657,0.0
2002-01-03,278.65,278.8,192.917,192.955,308.925,309.434,0.1616669660499337,0.6690777576853657
2002-01-04,278.95,277.75,193.648,192.574,310.462,309.989,-0.3766140602582513,0.1616669660499337
2002-01-07,279.65,278.6,194.067,193.539,312.458,312.262,0.3060306030603144,-0.3766140602582513
2002-01-08,278.2,278.6,193.087,193.204,312.76,312.332,0.0,0.3060306030603144
2002-01-09,279.35,281.1,194.033,195.113,313.138,316.091,0.8973438621679763,0.0
2002-01-10,287.0,286.85,198.575,198.443,321.569,321.365,2.0455353966559953,0.8973438621679763
2002-01-11,286.6,285.75,198.518,197.682,321.3,320.276,-0.3834756841554876,2.0455353966559953
2002-01-14,286.4,286.35,197.858,197.279,320.717,320.481,0.20997375328084544,-0.3834756841554876
2002-01-15,283.85,284.2,196.3,196.474,318.182,318.681,-0.7508294045748376,0.20997375328084544
2002-01-16,287.95,284.6,200.494,197.983,326.733,322.749,0.14074595355384467,-0.7508294045748376
2002-01-17,285.15,285.0,198.849,198.357,323.924,323.496,0.14054813773716202,0.14074595355384467
2002-01-18,283.7,283.2,197.7,197.655,321.947,321.818,-0.6315789473684275,0.14054813773716202
2002-01-21,282.65,282.3,196.763,196.601,319.559,319.597,-0.3177966101694851,-0.6315789473684275
2002-01-22,283.35,282.05,198.064,197.611,320.749,319.603,-0.08855827134254257,-0.3177966101694851
2002-01-23,281.6,280.75,196.992,196.7,318.156,317.124,-0.4609111859599446,-0.08855827134254257
2002-01-24,279.05,279.2,196.169,196.343,318.006,318.467,-0.5520926090828215,-0.4609111859599446
2002-01-25,279.0,279.0,196.687,197.732,321.17,322.917,-0.07163323782234388,-0.5520926090828215
2002-01-28,279.35,279.1,198.472,198.084,323.135,324.535,0.03584229390682925,-0.07163323782234388
2002-01-29,277.8,277.9,197.68,196.813,322.948,322.39,-0.4299534217126588,0.03584229390682925
2002-01-30,280.95,281.5,198.313,199.222,324.423,326.794,1.295430010795262,-0.4299534217126588
2002-01-31,281.5,282.3,199.674,199.604,326.377,327.57,0.2841918294849144,1.295430010795262
2002-02-01,282.0,283.9,200.0,200.806,327.716,329.465,0.5667729365922636,0.2841918294849144
2002-02-04,285.8,287.4,201.765,202.894,331.362,332.101,1.2328284607256101,0.5667729365922636
2002-02-05,290.35,291.95,204.041,205.526,333.544,335.112,1.5831593597773086,1.2328284607256101
2002-02-06,297.45,299.5,210.376,211.616,342.882,344.847,2.5860592567220397,1.5831593597773086
2002-02-07,300.35,299.5,213.09,212.487,346.424,345.444,0.0,2.5860592567220397
2002-02-08,305.1,304.3,216.107,214.492,349.605,348.369,1.6026711185308962,0.0
2002-02-11,301.5,297.75,211.995,209.315,343.982,339.316,-2.1524811041735203,1.6026711185308962
2002-02-12,298.9,298.9,209.49,209.094,340.549,340.627,0.38623005877413963,-2.1524811041735203
